lot_id,product_id,process_step,equipment_id,wafer_count,queue_time_hours,process_time_hours,start_time,end_time,defect_count,yield_rate,status
LOT_00001,N3_MOBILE,Lithography,LITHO_01,25,2.41,5.14,2026-01-15 12:24:23.690593,2026-01-15 17:32:53.660949,0,,Completed
LOT_00001,N3_MOBILE,Etching,ETCH_01,25,19.33,4.9,2026-01-16 12:52:33.558082,2026-01-16 17:46:25.152614,0,,Hold
LOT_00001,N3_MOBILE,Deposition,DEP_02,25,4.26,2.47,2026-01-16 22:01:51.668767,2026-01-17 00:30:21.057461,1,,Completed
LOT_00001,N3_MOBILE,CMP,CMP_02,25,6.07,2.57,2026-01-17 06:34:21.053188,2026-01-17 09:08:40.998699,1,,Rework
LOT_00001,N3_MOBILE,Metrology,MET_01,25,10.4,2.77,2026-01-17 19:32:30.005403,2026-01-17 22:18:57.210721,1,,Completed
LOT_00001,N3_MOBILE,Inspection,INSP_01,25,7.25,3.83,2026-01-18 05:34:00.930705,2026-01-18 09:23:57.793391,1,0.942853773529514,Completed
LOT_00002,N3_GPU,Lithography,LITHO_03,24,7.99,4.13,2026-03-25 21:59:38.266902,2026-03-26 02:07:27.088400,1,,Completed
LOT_00002,N3_GPU,Etching,ETCH_04,24,12.81,4.17,2026-03-26 14:56:20.520102,2026-03-26 19:06:38.001727,1,,Hold
LOT_00002,N3_GPU,Deposition,DEP_02,24,0.12,0.82,2026-03-26 19:13:53.564389,2026-03-26 20:03:11.561100,3,,Completed
LOT_00002,N3_GPU,CMP,CMP_02,24,2.87,1.99,2026-03-26 22:55:17.479891,2026-03-27 00:54:44.772657,2,,Completed
LOT_00002,N3_GPU,Metrology,MET_02,24,1.25,2.05,2026-03-27 02:09:45.195151,2026-03-27 04:12:34.295110,1,,Completed
LOT_00002,N3_GPU,Inspection,INSP_01,24,2.86,3.58,2026-03-27 07:03:57.292602,2026-03-27 10:38:52.934663,2,0.9666324537878007,Completed
LOT_00003,N3_CPU,Lithography,LITHO_02,25,5.26,2.23,2026-03-14 12:15:45.924976,2026-03-14 14:29:35.120991,3,,Completed
LOT_00003,N3_CPU,Etching,ETCH_03,25,12.75,3.06,2026-03-15 03:14:45.325318,2026-03-15 06:18:26.164866,4,,Completed
LOT_00003,N3_CPU,Deposition,DEP_02,25,1.86,2.72,2026-03-15 08:09:54.421004,2026-03-15 10:53:03.518355,4,,Completed
LOT_00003,N3_CPU,CMP,CMP_01,25,3.63,3.74,2026-03-15 14:30:59.528405,2026-03-15 18:15:36.889027,0,,Completed
LOT_00003,N3_CPU,Metrology,MET_02,25,6.88,3.9,2026-03-16 01:08:21.928880,2026-03-16 05:02:09.798261,1,,Completed
LOT_00003,N3_CPU,Inspection,INSP_02,25,10.12,3.18,2026-03-16 15:09:05.909303,2026-03-16 18:19:37.901161,2,0.9282367554060352,Completed
LOT_00004,N3_CPU,Lithography,LITHO_03,25,1.61,1.58,2026-03-11 08:36:34.038560,2026-03-11 10:11:38.703889,0,,Completed
